Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Fance,430.52084509558745,0.25344651368845933,0.38738958718049515,0.6542419364782044,0.5129559473971247,0.6311313537360776,FALSE
Jrk,139.00712051528478,0.2534270824922826,0.40686276177554315,0.6228809964970264,0.5333627268838531,0.6489229609935313,FALSE
Gm48961,1.4915011158373999,0.2533672908143576,1.9912872363365175,0.12723794246805478,0.8987520756686445,NA,NA
Klhdc3,1403.7859978937836,0.2531615634384606,0.2699169033146487,0.9379240808173618,0.34828342688012964,0.4742284917421994,FALSE
Itfg2,395.2376267782461,0.25310432405331285,0.32517338375706395,0.7783672855660484,0.43635251908968403,0.5602275914625511,FALSE
Gm37233,12.790206962173514,0.25300609018260933,1.1240400913798982,0.22508635779353126,0.8219120935972974,0.8818436595840509,FALSE
Prss23,707.7689399925127,0.2524230637338682,0.34499651524326586,0.7316684446968348,0.46437096102699216,0.5866554153933697,FALSE
Dazap1,1265.8131853267475,0.25232542291004756,0.24393201103498136,1.0344088167824048,0.30094508434720163,0.42449278377255445,FALSE
Gm14830,5.0184827034392345,0.25197925190170584,1.1178271759632064,0.22541879220692682,0.8216534937516642,0.8816642041507351,FALSE
A930012L18Rik,3.27416099702095,0.25189788123537143,1.73029719647339,0.1455807024069494,0.8842524029138611,0.9254997322289149,FALSE
Septin4,804.8100084363058,0.25179764377630637,0.42927741246948264,0.5865615950482992,0.5574981822194017,0.6697677669272571,FALSE
Agfg2,554.342161231877,0.2516835867100913,0.2658559752369489,0.9466914801737059,0.3437960131207765,0.4693763814212582,FALSE
Faap100,330.69793384468187,0.25157943849917,0.3191047179936054,0.7883914724952812,0.43046775725650316,0.5550110234312958,FALSE
Accsl,1.086669293308497,0.2515776724313516,3.949891441145798,0.06369230045430643,0.9492152356475082,NA,NA
Shb,1096.4897283549851,0.25154719587383306,0.4722315091533737,0.5326777036221323,0.5942567029465875,0.7017878295946578,FALSE
Spint1,4822.8702120735525,0.2509909807566892,0.4533850809464264,0.5535933829863872,0.5798571555671796,0.6895067686002097,FALSE
Plekhh2,399.70135379543893,0.25094660644924405,0.548131680160658,0.45782175256808966,0.6470805065451366,0.7457399068028095,FALSE
Ppp2r2a,1420.1719631177682,0.25058424684722286,0.29872161718169493,0.8388554173326099,0.4015504483198557,0.5277371755281139,FALSE
Col4a3bp,1613.7210538575825,0.25053807581706944,0.30389714226634745,0.8244173470953142,0.409702461536253,0.5354617845750026,FALSE
1200007C13Rik,23.50506128500061,0.2501063789476902,0.714452527725647,0.3500671762529367,0.7262882837605469,0.80915630098017,FALSE
Gm16310,3.4775473143310984,0.24990491424559677,1.9346677495292028,0.1291720060493129,0.8972215465445519,0.9348379511862454,FALSE
